flowers,fruits,leaves,coreid,accessuri,basisofrecord,class_,continent,country,county,dynamicproperties,eventdate,family,fieldnotes,genus,kingdom,locality,occurrenceremarks,order_,phylum,reproductivecondition,scientificname,specificepithet,stateprovince,geopoint,split,buds,old_flowers,old_fruits,name
U,U,1,f96b2573-aeda-4a04-af54-531b3ec7537e,http://mam.ansp.org/image/MARY/Fullsize/1022/MARY1022275.jpg,preservedspecimen,,north america,united states,cecil,,1973-09-08,acoraceae,,acorus,plantae,"on the elk river, 1 mile sw of elkton","Growing intermittently; Ascending herbaceous plant, 1-1.5 m tall with beige spike",acorales,magnoliophyta,,acorus calamus,calamus,maryland,"{""lat"": 39.588316, ""lon"": -75.8489}",train,,U,U,f96b2573-aeda-4a04-af54-531b3ec7537e.jpg
0,1,1,cc5f9eac-669b-4ce9-ac8f-c9aa634dba2f,https://bisque.cyverse.org/image_service/image/00-K4Viwfs9LJBAR7DbHSgto5?resize=4000&format=jpeg,preservedspecimen,magnoliopsida,north america,united states,sumter county,,1988-08-31,aquifoliaceae,,ilex,plantae,sumter,,aquifoliales,tracheophyta,flowering,ilex verticillata,verticillata,south carolina,,train,,0,1,cc5f9eac-669b-4ce9-ac8f-c9aa634dba2f.jpg
1,0,1,3a6d4c6e-0654-49ee-91fd-22b80fc9c047,https://bisque.cyverse.org/image_service/image/00-m3SWjzkSyj9F5ZQ7smUAPZ?resize=4000&format=jpeg,preservedspecimen,magnoliopsida,north america,united states,gallatin,,,papaveraceae,,corydalis,plantae,;,,ranunculales,tracheophyta,,corydalis flavula,flavula,kentucky,,train,,1,0,3a6d4c6e-0654-49ee-91fd-22b80fc9c047.jpg
1,1,1,63a3ff4a-1df0-4f3d-91e3-cf80605dd377,https://api.idigbio.org/v2/media/977deb64fa3dccb87b00302bdaa651fc?size=fullsize,preservedspecimen,magnoliopsida,north america,united states,kane,,1991-09-15,asteraceae,,symphyotrichum,plantae,"st. charles park dist. - norris woods. fox soiltype, well drained, along bicycle trail 1 m from edge, between trail and river.",White flowers,asterales,tracheophyta,Flower: Y Fruit: Y Vegetation: N Bud: N,aster sagittifolius,cordifolium,illinois,,train,,1,1,63a3ff4a-1df0-4f3d-91e3-cf80605dd377.jpg
1,1,1,d4c1dde0-7559-4d97-8d95-71a5e9c3c0dc,https://bisque.cyverse.org/image_service/image/00-bnjtLHWjCaG86j6WkofhFG?resize=4000&format=jpeg,preservedspecimen,magnoliopsida,north america,united states,calhoun,,1967-04-28,campanulaceae,,triodanis,plantae,jacksonville state university campus calhoun co. ala. jacksonville,,asterales,tracheophyta,,triodanis perfoliata,perfoliata,alabama,,train,,1,1,d4c1dde0-7559-4d97-8d95-71a5e9c3c0dc.jpg
0,0,1,ed4a0820-c3c3-4671-9b74-ddb6f535c991,http://purl.dlib.indiana.edu/iudl/herbarium/full/IND-0150453,preservedspecimen,,north america,united states,monroe,,2013-11-01,solanaceae,,,plantae,indiana university greenhouses.,"Cultivated specimen, grown from seed of cross between original parental specimens: Nee et al. 51826 / Bohs 01-58 grown as Mione 702 (CCSU) × Mione and Yacher 694 (NY): Jsi702-6 × Jd694-1 F1 (Cross ID #281); Parental Species' Country: Bolivia × Costa Rica; Parental Species' Collection Location: Larecaja, La Paz × Curu, Puntarenas; Parental Species' Latitude, Longitude: -15.770844° × 9.794263°, -68.651558° × -84.939787°; Parental Species' Altitude: 2475 m × 98 m; Parental Species' Collection Site Description: trail Sorata to San Pedro, Sorata × Nicoya Peninsula; Parental Species’ Collection Date: 5/18/2001 × 1/11/2000; Grown as part of J. L. Kostyun's Ph.D. dissertation, examining floral evolution and speciation in the genus Jaltomata.; Intermediate growth form and leaf morphology; occasionally produces intermediate flowers (white or faint purple rotate pentamerous, curved style, clear nectar, STERILE)",solanales,magnoliophyta,,jaltomata f1 hybrid,f1 hybrid,indiana,,train,,0,0,ed4a0820-c3c3-4671-9b74-ddb6f535c991.jpg
0,1,1,482365ce-4546-498d-8c6f-8c2922f699a6,http://storage.idigbio.org/mor/aquatic/00000/0000840MOR_lg.jpg,preservedspecimen,,north america,united states,lake,,1989-07-13,scrophulariaceae,,veronica,plantae,"near the monon rr just east of oak hill cemetery, in hammond. along the railroad.",,lamiales,magnoliophyta,Flower: N Fruit: Y Vegetation: Y Bud: N,veronica arvensis,arvensis,indiana,,train,,0,1,482365ce-4546-498d-8c6f-8c2922f699a6.jpg
1,0,1,d04e1c6b-f281-4231-b90d-48ce1cc646be,http://data.huh.harvard.edu/954e2d91-4852-46c6-b4b3-9e5ef5f0430a/image,preservedspecimen,magnoliopsida,north america,united states,greenbrier county,"{""huh_taxonomic_group"": ""Vascular"", ""huh_project_id"": 7, ""huh_project_name"": ""US and Canada - Mass Digitization""}",,campanulaceae,,campanula,plantae,[data not captured],,asterales,tracheophyta,NotDetermined,campanula divaricata michaux,divaricata,west virginia,,train,1,1,0,d04e1c6b-f281-4231-b90d-48ce1cc646be.jpg
0,1,1,fb8ab139-a513-429c-b97d-e4ed76790622,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00072/DES00072584_lg.jpg,preservedspecimen,,north america,united states,maricopa county,,2009-04-25,asclepiadaceae,,matelea,plantae,spur cross ranch conservation area. spur cross trail.,"Vine, in fruit. Infrequent.",gentianales,magnoliophyta,in fruit,matelea parvifolia,parvifolia,arizona,"{""lat"": 33.892717, ""lon"": -111.958333}",train,,0,1,fb8ab139-a513-429c-b97d-e4ed76790622.jpg
1,1,1,6b9f2c23-1bbe-450a-84ba-6c40dad21c90,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00083/DES00083862_lg.jpg,preservedspecimen,magnoliopsida,north america,united states,maricopa county,,2016-04-02,asteraceae,,oncosiphon,plantae,"white tank mountain regional park, mesquite trail.",Occasional.,asterales,tracheophyta,Flowers,oncosiphon piluliferum,piluliferum,arizona,"{""lat"": 33.591873, ""lon"": -112.524117}",train,,1,1,6b9f2c23-1bbe-450a-84ba-6c40dad21c90.jpg
1,1,1,72597b3b-0f5a-4866-b8f6-7b2f28a04d81,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00086/DES00086391_lg.jpg,preservedspecimen,magnoliopsida,north america,united states,maricopa county,,2005-03-24,loasaceae,,mentzelia,plantae,"sierra estrella mountains wilderness area, west side, along quartz trail to top.","Local, robust annual, petals light yellow.",cornales,tracheophyta,flowers,mentzelia involucrata,involucrata,arizona,"{""lat"": 33.215033, ""lon"": -112.236267}",train,0,1,1,72597b3b-0f5a-4866-b8f6-7b2f28a04d81.jpg
1,U,1,1237d937-dd9c-49e9-8aa0-fc7902a0ffb0,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00063/DES00063051_lg.jpg,preservedspecimen,magnoliopsida,africa,south africa,,,1960-12-12,asteraceae,,athanasia,plantae,"piketberg mountain, piketberg district.",Large spreading shrubs with dense umbella of bright yellow flowers; 1.5-2 m tall.,asterales,tracheophyta,seeds,athanasia parviflora,parviflora,cape province,"{""lat"": -32.911111, ""lon"": 18.7375}",train,,1,U,1237d937-dd9c-49e9-8aa0-fc7902a0ffb0.jpg
1,1,1,367c2986-4500-4572-b6ea-34317f6687ed,http://cdn.flmnh.ufl.edu/Herbarium/jpg/263/263922a1.jpg,preservedspecimen,liliopsida,north america,united states,alachua,,2016-08-02,musaceae,,musa,plantae,,"[Common name:] Pink Banana --[Label note:] Additional material: digital images. --[DNA ann.:] Voucher for plant DNA banking and BarFF (Barcoding the Flora of Florida) by J. Richard Abbott, Kurt M. Neubig, W. Mark Whitten, Norris H. Williams & Kent D. Perkins. 2016.",zingiberales,tracheophyta,flowering and immature fruit,musa velutina,velutina,florida,,train,0,1,1,367c2986-4500-4572-b6ea-34317f6687ed.jpg
1,0,1,7e759423-e006-47a1-af2c-a6720c38f4da,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0055000/BRIT55789.jpg,preservedspecimen,magnoliopsida,north america,united states,tarrant,,2010-04-28,asteraceae,,echinacea,plantae,fort worth. fort worth nature center & refuge. walnut ridge/hillslope northeast of the hardwicke interpretive center on caprock/limestone ridge trail. research site: fort worth nature center and refuge,"Leaves taper to base. Ligules pink spreading to drooping, not recurred 2-4 cm. Yellow pollen.",asterales,tracheophyta,,echinacea angustifolia,angustifolia,texas,"{""lat"": 32.8469, ""lon"": -97.4767}",train,,1,0,7e759423-e006-47a1-af2c-a6720c38f4da.jpg
1,0,1,62ca98be-d723-4fa9-a98f-af4d535a13d2,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00058/DES00058685_lg.jpg,preservedspecimen,magnoliopsida,north america,united states,coconino county,,2006-06-05,primulaceae,,dodecatheon,plantae,"along the north bass trail, at the top of the redwall limestone, on the east side of white canyon at a seep between the north bass trail and the natural bridge",NAD27; 25% of the rosettes in Bloom,ericales,tracheophyta,flower & leaves,dodecatheon pulchellum,meadia,arizona,"{""lat"": 36.31084, ""lon"": -112.35033}",train,,1,0,62ca98be-d723-4fa9-a98f-af4d535a13d2.jpg
1,1,1,6d6c890e-66db-4787-9001-5408473c87e6,https://cdn.plantatlas.org/img/specimens/USF/261269.jpg,preservedspecimen,magnoliopsida,north america,united states,charlotte co.,,2012-01-16,gelsemiaceae,,gelsemium,plantae,"prairie creek preserve, 8 km e of us 17, 0.75 km s of the desoto county line, 0.7 km w of prairie creek.",,gentianales,tracheophyta,Bud | Fruit,gelsemium sempervirens,sempervirens,florida,"{""lat"": 27.0278, ""lon"": -81.8769}",train,,1,1,6d6c890e-66db-4787-9001-5408473c87e6.jpg
