family,unknown_count_flower,fam_count,unknown_prop_flower
alsinaceae,1,2,0.5
amaranthaceae,35,48,0.7291666666666666
apodanthaceae,1,2,0.5
aptandraceae,1,2,0.5
balanophoraceae,1,1,1
bataceae,1,2,0.5
chenopodiaceae,2,3,0.6666666666666666
comandraceae,1,1,1
costaceae,1,2,0.5
cyperaceae,152,157,0.9681528662420382
eriocaulaceae,8,10,0.8
frankeniaceae,1,2,0.5
gunneraceae,5,8,0.625
heliotropiaceae,1,2,0.5
helwingiaceae,1,1,1
juncaceae,28,30,0.9333333333333333
limnanthaceae,2,2,1
montiniaceae,1,1,1
petrosaviaceae,1,1,1
piperaceae,15,35,0.42857142857142855
poaceae,156,170,0.9176470588235294
podostemaceae,1,1,1
resedaceae,2,2,1
sphenocleaceae,1,1,1
ticodendraceae,1,1,1
trimeniaceae,2,2,1
