family,unknown_count_fruit,fam_count,unknown_prop_fruit
acoraceae,20,49,0.40816326530612246
agavaceae,1,2,0.5
alliaceae,2,4,0.5
alsinaceae,1,2,0.5
alstroemeriaceae,1,2,0.5
amaranthaceae,35,48,0.7291666666666666
anisophylleaceae,1,1,1
apodanthaceae,2,2,1
aptandraceae,1,2,0.5
balanophoraceae,1,1,1
bataceae,2,2,1
bruniaceae,4,6,0.6666666666666666
chenopodiaceae,2,3,0.6666666666666666
comandraceae,1,1,1
costaceae,1,2,0.5
cyperaceae,152,157,0.9681528662420382
diapensiaceae,1,2,0.5
eriocaulaceae,10,10,1
frankeniaceae,2,2,1
helwingiaceae,1,1,1
hippocrateaceae,1,1,1
juncaceae,29,30,0.9666666666666667
limnanthaceae,1,2,0.5
mayacaceae,1,2,0.5
molluginaceae,4,10,0.4
montiaceae,12,28,0.42857142857142855
petrosaviaceae,1,1,1
piperaceae,15,35,0.42857142857142855
plumbaginaceae,3,7,0.42857142857142855
poaceae,158,170,0.9294117647058824
podostemaceae,1,1,1
resedaceae,2,2,1
sphenocleaceae,1,1,1
talinaceae,1,2,0.5
tetrachondraceae,3,6,0.5
ticodendraceae,1,1,1
trimeniaceae,2,2,1
triuridaceae,1,1,1
urticaceae,14,28,0.5
xyridaceae,20,21,0.9523809523809523
