family,genus
asteraceae,rafinesquia
cyperaceae,
aristolochiaceae,asarum
boraginaceae,cryptantha
molluginaceae,mollugo
poaceae,panicum
asteraceae,antennaria
poaceae,aristida
ruscaceae,nolina
piperaceae,peperomia
poaceae,bouteloua
platanaceae,platanus
cabombaceae,cabomba
asteraceae,parthenium
asteraceae,baccharis
rubiaceae,galium
xyridaceae,xyris
portulacaceae,portulaca
amaranthaceae,amaranthus
caryophyllaceae,paronychia
amaranthaceae,atriplex
saururaceae,saururus
commelinaceae,tradescantia
saxifragaceae,heuchera
asteraceae,aster
eriocaulaceae,
araceae,
lamiaceae,salvia
boraginaceae,amsinckia
saxifragaceae,mitella
montiaceae,phemeranthus
amaranthaceae,
asteraceae,verbesina
asteraceae,hymenopappus
cyperaceae,cyperus
pandanaceae,freycinetia
poaceae,
hydrangeaceae,hydrangea
poaceae,muhlenbergia
hydrocharitaceae,
asteraceae,symphyotrichum
asteraceae,artemisia
lentibulariaceae,utricularia
asteraceae,packera
asteraceae,brickellia
boraginaceae,lithospermum
haloragaceae,myriophyllum
hydrocharitaceae,elodea
campanulaceae,triodanis
asteraceae,
santalaceae,phoradendron
marantaceae,
typhaceae,typha
asteraceae,cirsium
asteraceae,chaenactis
boraginaceae,eucrypta
lamiaceae,hyptis
ceratophyllaceae,ceratophyllum
asteraceae,ericameria
asteraceae,solidago
chloranthaceae,hedyosmum
sarcolaenaceae,sarcolaena
poaceae,sporobolus
potamogetonaceae,potamogeton
alismataceae,sagittaria
crossosomataceae,glossopetalon
orobanchaceae,
acoraceae,acorus
asteraceae,acourtia
polygalaceae,polygala
juncaceae,juncus
polygonaceae,eriogonum
asteraceae,porophyllum
asteraceae,ambrosia
nyctaginaceae,abronia
cannabaceae,cannabis
asteraceae,xanthisma
asteraceae,helianthus
amaranthaceae,chenopodium
sarcolaenaceae,xerochlamys
boraginaceae,cryptanthe
orobanchaceae,castilleja
poaceae,eragrostis
commelinaceae,commelina
urticaceae,
boraginaceae,plagiobothrys
loganiaceae,
bromeliaceae,tillandsia
poaceae,poa
amaryllidaceae,allium
asteraceae,encelia
asteraceae,erigeron
cyperaceae,carex
plantaginaceae,plantago
asteraceae,tetraneuris
asteraceae,gutierrezia
betulaceae,alnus
cistaceae,lechea
balsaminaceae,impatiens
hydrocharitaceae,najas
montiaceae,claytonia
