"","family","fam_count","flower_u","fruit_u","fl_prop_u","fr_prop_u"
"1","aizoaceae",4,1,2,0.25,0.5
"2","alliaceae",2,0,2,0,1
"3","amaranthaceae",47,35,35,0.74468085106383,0.74468085106383
"4","aptandraceae",1,1,1,1,1
"5","araceae",33,11,11,0.333333333333333,0.333333333333333
"6","aristolochiaceae",22,8,8,0.363636363636364,0.363636363636364
"7","bataceae",2,1,2,0.5,1
"8","bromeliaceae",16,5,5,0.3125,0.3125
"9","bruniaceae",3,0,2,0,0.666666666666667
"10","burmanniaceae",4,1,2,0.25,0.5
"11","ceratophyllaceae",31,8,8,0.258064516129032,0.258064516129032
"12","chenopodiaceae",3,2,2,0.666666666666667,0.666666666666667
"13","chloranthaceae",19,8,9,0.421052631578947,0.473684210526316
"14","comandraceae",1,1,1,1,1
"15","commelinaceae",31,2,15,0.0645161290322581,0.483870967741935
"16","cyperaceae",156,152,152,0.974358974358974,0.974358974358974
"17","diapensiaceae",2,0,1,0,0.5
"18","dipsacaceae",5,0,2,0,0.4
"19","eriocaulaceae",8,7,8,0.875,1
"20","gunneraceae",4,3,2,0.75,0.5
"21","heliotropiaceae",2,1,0,0.5,0
"22","helwingiaceae",1,1,1,1,1
"23","hippocrateaceae",1,0,1,0,1
"24","juncaceae",30,28,29,0.933333333333333,0.966666666666667
"25","juncaginaceae",4,1,0,0.25,0
"26","loganiaceae",7,2,2,0.285714285714286,0.285714285714286
"27","marantaceae",10,3,3,0.3,0.3
"28","molluginaceae",8,3,4,0.375,0.5
"29","montiaceae",19,2,9,0.105263157894737,0.473684210526316
"30","montiniaceae",1,1,0,1,0
"31","penthoraceae",2,1,1,0.5,0.5
"32","piperaceae",23,10,9,0.434782608695652,0.391304347826087
"33","plumbaginaceae",5,1,2,0.2,0.4
"34","poaceae",167,156,158,0.934131736526946,0.946107784431138
"35","potamogetonaceae",30,9,8,0.3,0.266666666666667
"36","ruscaceae",6,3,3,0.5,0.5
"37","sphenocleaceae",1,1,1,1,1
"38","ticodendraceae",1,1,1,1,1
"39","tofieldiaceae",2,1,0,0.5,0
"40","trochodendraceae",4,1,1,0.25,0.25
"41","urticaceae",17,8,9,0.470588235294118,0.529411764705882
"42","xyridaceae",17,0,17,0,1
